Name	ID	Label	Len	S	SW	p	q	d	sp	sq	sd	Pmax	a	b	c	d	
wt	_seg_0_:24	_none_	132	0	+0.004	2	1	0	0	1	1	+279.422	+0.020	-0.001	+0.822	+2.283	
wt	_seg_1_:24	_none_	40	0	+0.004	2	0	0	0	1	0	+300.120	+6.752	+0.101	+0.497	+5.603	
wt	25	normal;	180	3	+0.312	1	1	0	0	1	1	+186.281	-0.010	-0.001	+0.916	+58.895	
wt	_seg_0_:25	normal;	36	0	+0.312	0	0	0	0	1	1	+270.108	+0.124	-0.001	+2.060	-3.536	
wt	_seg_1_:25	normal;	64	0	+0.312	0	2	0	0	1	1	+174.615	+0.054	-0.001	+0.915	+0.483	
wt	_seg_2_:25	normal;	64	0	+0.312	0	2	0	0	1	1	+192.077	+0.018	-0.001	+0.896	-12.640	
wt	28	_none_	181	3	+0.012	2	2	0	0	1	1	+277.034	+0.001	-0.001	+0.683	-27.646	
wt	_seg_0_:28	_none_	44	0	+0.012	0	0	0	0	1	1	+270.108	-0.025	-0.001	+1.529	+59.303	
wt	_seg_1_:28	_none_	40	0	+0.012	0	1	0	0	1	0	+200.080	-0.113	-0.001	+7.275	+28.830	
wt	_seg_2_:28	_none_	84	0	+0.012	0	0	0	0	1	1	+245.553	-0.315	-0.001	+0.428	+0.380	
wt	29	normal;	174	2	+0.000	1	0	0	0	1	1	+130.173	-0.030	-0.001	+1.504	+79.770	
wt	_seg_0_:29	normal;	104	0	+0.000	1	2	0	0	1	2	+129.652	+0.005	-0.001	+0.847	-56.015	
wt	_seg_1_:29	normal;	60	0	+0.000	0	1	0	0	1	1	+124.188	+0.022	-0.001	+0.820	-13.278	
wt	32	normal;	181	2	+0.200	1	1	0	0	1	1	+186.281	+0.011	-0.001	+1.743	-83.798	
wt	_seg_0_:32	normal;	36	0	+0.200	0	1	0	0	1	1	+166.220	-12.372	-0.002	+0.581	+1.362	
wt	_seg_1_:32	normal;	136	0	+0.200	1	0	0	0	1	0	+184.165	-0.021	-0.001	+0.920	+37.536	
wt	33	_none_	181	3	+0.016	1	1	0	0	1	1	+211.849	+0.008	-0.001	+0.889	-28.489	
wt	_seg_0_:33	_none_	36	0	+0.016	1	0	0	0	1	0	+154.347	-0.048	-0.001	+1.043	+19.664	
wt	_seg_1_:33	_none_	60	0	+0.016	1	0	0	0	1	0	+133.387	-0.532	-0.001	+0.389	+2.873	
wt	_seg_2_:33	_none_	72	0	+0.016	0	2	0	0	1	1	+216.086	+2.087	-0.001	+0.475	+15.657	
wt	37	normal;	181	2	+0.005	1	1	0	0	1	2	+154.347	+0.031	-0.001	+0.988	+5.767	
wt	_seg_0_:37	normal;	64	0	+0.005	0	0	0	0	1	1	+160.064	+0.020	-0.001	+0.986	+10.318	
wt	_seg_1_:37	normal;	108	0	+0.005	2	3	0	0	1	1	+154.347	+0.014	-0.001	+0.836	+7.905	
wt	2	_none_	181	3	+0.018	2	2	0	0	1	1	+220.496	-0.012	-0.001	+2.574	+183.363	
wt	_seg_0_:2	_none_	72	0	+0.018	0	1	0	0	1	1	+149.025	-0.029	-0.001	+2.437	+55.209	
wt	_seg_1_:2	_none_	56	0	+0.018	1	0	0	0	1	0	+211.849	-0.041	-0.001	+1.626	+24.175	
wt	_seg_2_:2	_none_	40	0	+0.018	1	0	0	0	1	0	+120.048	-0.008	-0.001	+1.019	+3.732	
wt	3	_none_	181	3	+0.106	1	3	0	0	1	1	+168.818	+0.032	-0.001	+0.932	+12.681	
wt	_seg_0_:3	_none_	36	0	+0.106	2	0	0	0	1	1	+196.442	+23.276	+0.130	+0.705	+4.532	
wt	_seg_1_:3	_none_	76	0	+0.106	0	1	0	0	1	1	+166.733	-0.012	-0.001	+0.954	+16.217	
wt	_seg_2_:3	_none_	56	0	+0.106	0	1	0	0	1	1	+128.623	+0.029	-0.001	+0.631	+2.832	
wt	5	_none_	181	1	+0.226	2	1	0	0	1	1	+152.174	+0.013	-0.001	+0.906	+14.794	
wt	_seg_0_:5	_none_	176	0	+0.226	0	1	0	0	1	1	+152.174	+0.007	-0.001	+0.878	+12.516	
wt	10	normal;ascus;	179	3	+0.000	1	0	0	0	1	0	+240.096	+0.014	-0.001	+0.975	-124.850	
wt	_seg_0_:10	normal;ascus;	84	0	+0.000	1	0	0	0	1	0	+415.551	+5.570	+0.051	+0.276	+9.843	
