frame,y,x,mass,size,ecc,signal,raw_mass,ep,frame.1,particle,category,label
76,50.606,880.815,157.38,717,0.737,230.43400000000003,32.99,0.17,76,15,wt,normal;
77,52.44300000000001,877.753,17.102999999999998,792,0.741,268.475,34.023,0.138,77,15,wt,normal;
78,53.332,878.5139999999999,45.0,798,0.691,259.404,34.567,0.149,78,15,wt,normal;
79,53.081,880.65,12.095,874,0.731,264.475,34.613,0.157,79,15,wt,normal;
80,52.977,879.297,33.69,747,0.7559999999999999,207.22,32.234,0.219,80,15,wt,normal;
81,53.203,875.967,4.289,777,0.7140000000000001,237.019,34.969,0.174,81,15,wt,normal;
82,55.468,873.7919999999998,17.102999999999998,777,0.715,234.43400000000003,34.156,0.17800000000000002,82,15,wt,normal;
83,53.258,873.3689999999998,5.194,789,0.741,213.12,36.205,0.218,83,15,wt,normal;
84,52.021,876.98,33.69,685,0.657,276.375,30.798,0.113,84,15,wt,normal;
85,52.555,878.683,59.534,758,0.698,235.848,33.012,0.171,85,15,wt,normal;
86,53.506,876.887,23.385,702,0.65,265.588,30.555,0.125,86,15,wt,normal;
87,52.432,877.6569999999998,51.11600000000001,719,0.6859999999999999,266.233,32.065,0.127,87,15,wt,normal;
88,52.466,876.164,159.274,679,0.6970000000000001,238.09,30.675,0.151,88,15,wt,normal;
89,51.31100000000001,876.937,36.87,815,0.748,225.848,34.701,0.201,89,15,wt,normal;
90,51.934,876.862,177.33700000000005,788,0.7040000000000001,239.161,34.964,0.173,90,15,wt,normal;
91,53.705,878.447,122.905,799,0.7340000000000001,224.777,33.41,0.199,91,15,wt,normal;
92,53.899,877.8489999999998,92.793,799,0.7140000000000001,270.274,32.514,0.13699999999999998,92,15,wt,normal;
93,55.56800000000001,876.4939999999998,15.593,859,0.706,272.617,36.95,0.145,93,15,wt,normal;
94,52.834,879.2180000000002,173.047,809,0.728,235.362,33.367,0.184,94,15,wt,normal;
95,53.387,876.309,6.789,718,0.68,220.291,34.364000000000004,0.18600000000000005,95,15,wt,normal;
96,53.11600000000001,878.053,12.804,854,0.737,267.647,35.823,0.15,96,15,wt,normal;
97,54.486,875.7769999999998,47.726000000000006,882,0.698,277.103,36.406,0.14400000000000002,97,15,wt,normal;
98,54.803,877.596,168.408,770,0.7509999999999999,232.333,32.827,0.179,98,15,wt,normal;
99,54.327,876.054,61.39,709,0.74,201.806,32.445,0.219,99,15,wt,normal;
