frame,y,x,minor,area,convexity,perimeter,major,circularity,frame,particle,label
112,478.166,506.49300000000005,31.241,967,0.863,181.907,39.411,0.36700000000000005,112,1_/Users/danielleon/Desktop/AFA226/Processed/AFA226_20200903_12_R3D_PRJ,AFA226
113,478.267,506.417,29.949,997,0.841,209.362,42.386,0.28600000000000003,113,1_/Users/danielleon/Desktop/AFA226/Processed/AFA226_20200903_12_R3D_PRJ,AFA226
114,478.775,505.425,28.565,840,0.833,166.83599999999998,37.441,0.379,114,1_/Users/danielleon/Desktop/AFA226/Processed/AFA226_20200903_12_R3D_PRJ,AFA226
115,477.339,504.56199999999995,29.910999999999998,945,0.835,191.907,40.227,0.322,115,1_/Users/danielleon/Desktop/AFA226/Processed/AFA226_20200903_12_R3D_PRJ,AFA226
116,488.24300000000005,510.346,27.775,1161,0.772,249.40400000000002,53.222,0.235,116,1_/Users/danielleon/Desktop/AFA226/Processed/AFA226_20200903_12_R3D_PRJ,AFA226
117,486.69699999999995,508.68199999999996,29.111,981,0.8240000000000001,205.22,42.907,0.293,117,1_/Users/danielleon/Desktop/AFA226/Processed/AFA226_20200903_12_R3D_PRJ,AFA226
118,485.639,507.254,30.878,964,0.85,197.66400000000002,39.751,0.31,118,1_/Users/danielleon/Desktop/AFA226/Processed/AFA226_20200903_12_R3D_PRJ,AFA226
119,489.29,510.464,28.679000000000002,1162,0.8240000000000001,251.16099999999997,51.588,0.231,119,1_/Users/danielleon/Desktop/AFA226/Processed/AFA226_20200903_12_R3D_PRJ,AFA226
120,486.871,507.30300000000005,30.026,958,0.8029999999999999,199.80599999999998,40.624,0.302,120,1_/Users/danielleon/Desktop/AFA226/Processed/AFA226_20200903_12_R3D_PRJ,AFA226
121,485.411,506.39,30.473000000000003,955,0.857,178.593,39.902,0.376,121,1_/Users/danielleon/Desktop/AFA226/Processed/AFA226_20200903_12_R3D_PRJ,AFA226
122,485.17199999999997,507.45099999999996,28.79,942,0.84,184.007,41.66,0.35,122,1_/Users/danielleon/Desktop/AFA226/Processed/AFA226_20200903_12_R3D_PRJ,AFA226
123,482.702,507.031,27.576999999999998,825,0.821,172.93599999999998,38.091,0.34700000000000003,123,1_/Users/danielleon/Desktop/AFA226/Processed/AFA226_20200903_12_R3D_PRJ,AFA226
124,488.124,507.39099999999996,28.776,1132,0.8440000000000001,209.706,50.086999999999996,0.32299999999999995,124,1_/Users/danielleon/Desktop/AFA226/Processed/AFA226_20200903_12_R3D_PRJ,AFA226
125,487.471,506.975,28.686999999999998,852,0.846,166.93599999999998,37.815,0.384,125,1_/Users/danielleon/Desktop/AFA226/Processed/AFA226_20200903_12_R3D_PRJ,AFA226
126,486.91,506.876,28.621,840,0.846,167.765,37.369,0.375,126,1_/Users/danielleon/Desktop/AFA226/Processed/AFA226_20200903_12_R3D_PRJ,AFA226
127,489.402,505.856,26.261999999999997,837,0.843,173.765,40.58,0.348,127,1_/Users/danielleon/Desktop/AFA226/Processed/AFA226_20200903_12_R3D_PRJ,AFA226
128,486.16,505.54699999999997,27.035999999999998,826,0.8490000000000001,167.52200000000002,38.899,0.37,128,1_/Users/danielleon/Desktop/AFA226/Processed/AFA226_20200903_12_R3D_PRJ,AFA226
129,487.24,505.772,25.021,727,0.84,153.037,36.995,0.39,129,1_/Users/danielleon/Desktop/AFA226/Processed/AFA226_20200903_12_R3D_PRJ,AFA226
130,484.983,505.589,27.94,806,0.8540000000000001,175.037,36.73,0.331,130,1_/Users/danielleon/Desktop/AFA226/Processed/AFA226_20200903_12_R3D_PRJ,AFA226
131,484.858,506.149,27.569000000000003,813,0.821,173.865,37.548,0.33799999999999997,131,1_/Users/danielleon/Desktop/AFA226/Processed/AFA226_20200903_12_R3D_PRJ,AFA226
132,488.426,506.18199999999996,27.764,988,0.851,186.25,45.309,0.358,132,1_/Users/danielleon/Desktop/AFA226/Processed/AFA226_20200903_12_R3D_PRJ,AFA226
133,487.51099999999997,506.892,25.669,737,0.826,178.593,36.556999999999995,0.29,133,1_/Users/danielleon/Desktop/AFA226/Processed/AFA226_20200903_12_R3D_PRJ,AFA226
134,486.76800000000003,506.385,26.355999999999998,710,0.782,187.66400000000002,34.3,0.253,134,1_/Users/danielleon/Desktop/AFA226/Processed/AFA226_20200903_12_R3D_PRJ,AFA226
135,485.528,505.848,27.214000000000002,792,0.835,159.765,37.054,0.39,135,1_/Users/danielleon/Desktop/AFA226/Processed/AFA226_20200903_12_R3D_PRJ,AFA226
136,489.772,508.47,26.94,935,0.8390000000000001,175.27900000000002,44.19,0.382,136,1_/Users/danielleon/Desktop/AFA226/Processed/AFA226_20200903_12_R3D_PRJ,AFA226
137,489.76199999999994,504.735,28.008000000000003,835,0.831,187.321,37.96,0.299,137,1_/Users/danielleon/Desktop/AFA226/Processed/AFA226_20200903_12_R3D_PRJ,AFA226
138,487.759,505.409,28.895,823,0.797,195.907,36.265,0.26899999999999996,138,1_/Users/danielleon/Desktop/AFA226/Processed/AFA226_20200903_12_R3D_PRJ,AFA226
139,487.103,505.528,31.211,941,0.833,192.149,38.388000000000005,0.32,139,1_/Users/danielleon/Desktop/AFA226/Processed/AFA226_20200903_12_R3D_PRJ,AFA226
140,481.814,508.603,27.464000000000002,1043,0.818,211.463,48.354,0.293,140,1_/Users/danielleon/Desktop/AFA226/Processed/AFA226_20200903_12_R3D_PRJ,AFA226
141,464.16,511.39099999999996,23.337,1052,0.75,292.86,57.396,0.154,141,1_/Users/danielleon/Desktop/AFA226/Processed/AFA226_20200903_12_R3D_PRJ,AFA226
142,465.63,509.56800000000004,27.267,1066,0.8290000000000001,221.12,49.777,0.27399999999999997,142,1_/Users/danielleon/Desktop/AFA226/Processed/AFA226_20200903_12_R3D_PRJ,AFA226
143,471.249,507.47900000000004,30.180999999999997,1041,0.828,209.94799999999998,43.916000000000004,0.297,143,1_/Users/danielleon/Desktop/AFA226/Processed/AFA226_20200903_12_R3D_PRJ,AFA226
144,460.462,509.86400000000003,27.746,1245,0.785,265.30400000000003,57.132,0.222,144,1_/Users/danielleon/Desktop/AFA226/Processed/AFA226_20200903_12_R3D_PRJ,AFA226
145,443.103,507.541,28.484,1182,0.778,273.44599999999997,52.836000000000006,0.19899999999999998,145,1_/Users/danielleon/Desktop/AFA226/Processed/AFA226_20200903_12_R3D_PRJ,AFA226
146,435.62199999999996,515.0740000000001,25.334,1121,0.778,251.99,56.34,0.222,146,1_/Users/danielleon/Desktop/AFA226/Processed/AFA226_20200903_12_R3D_PRJ,AFA226
147,443.04,514.747,25.261,939,0.792,243.06099999999998,47.33,0.2,147,1_/Users/danielleon/Desktop/AFA226/Processed/AFA226_20200903_12_R3D_PRJ,AFA226
148,454.73,510.985,31.754,1141,0.787,262.96,45.75,0.207,148,1_/Users/danielleon/Desktop/AFA226/Processed/AFA226_20200903_12_R3D_PRJ,AFA226
149,453.916,511.584,28.545,935,0.846,189.563,41.706,0.327,149,1_/Users/danielleon/Desktop/AFA226/Processed/AFA226_20200903_12_R3D_PRJ,AFA226
150,434.63300000000004,516.876,27.499000000000002,1147,0.773,249.747,53.108000000000004,0.231,150,1_/Users/danielleon/Desktop/AFA226/Processed/AFA226_20200903_12_R3D_PRJ,AFA226
