frame,y,x,minor,area,convexity,perimeter,major,circularity,frame,particle
88,559.89,503.767,22.924,1189,0.6940000000000001,325.387,66.039,0.141,88,1_/home/jpincru/pelisdv/sabas/results/TL1_sabas_AFA854_1_R3D_PRJ
89,561.564,507.228,22.055,1167,0.691,344.014,67.37,0.124,89,1_/home/jpincru/pelisdv/sabas/results/TL1_sabas_AFA854_1_R3D_PRJ
90,564.633,511.595,21.101,1229,0.696,372.399,74.15899999999999,0.111,90,1_/home/jpincru/pelisdv/sabas/results/TL1_sabas_AFA854_1_R3D_PRJ
91,562.2280000000001,505.13699999999994,24.14,1238,0.725,355.186,65.298,0.12300000000000001,91,1_/home/jpincru/pelisdv/sabas/results/TL1_sabas_AFA854_1_R3D_PRJ
92,563.986,507.015,20.037,1161,0.685,380.25699999999995,73.773,0.10099999999999999,92,1_/home/jpincru/pelisdv/sabas/results/TL1_sabas_AFA854_1_R3D_PRJ
94,565.9630000000001,513.122,16.8,858,0.607,345.87199999999996,65.027,0.09,94,1_/home/jpincru/pelisdv/sabas/results/TL1_sabas_AFA854_1_R3D_PRJ
95,562.503,509.535,24.772,1155,0.733,291.546,59.364,0.171,95,1_/home/jpincru/pelisdv/sabas/results/TL1_sabas_AFA854_1_R3D_PRJ
96,559.8340000000001,505.059,25.979,1141,0.762,289.83099999999996,55.92,0.171,96,1_/home/jpincru/pelisdv/sabas/results/TL1_sabas_AFA854_1_R3D_PRJ
97,556.8340000000001,500.705,28.971999999999998,1173,0.775,267.546,51.55,0.20600000000000002,97,1_/home/jpincru/pelisdv/sabas/results/TL1_sabas_AFA854_1_R3D_PRJ
98,554.876,497.213,28.589000000000002,1174,0.747,301.73,52.285,0.162,98,1_/home/jpincru/pelisdv/sabas/results/TL1_sabas_AFA854_1_R3D_PRJ
99,548.1759999999999,479.097,17.995,1018,0.605,440.38199999999995,72.03,0.066,99,1_/home/jpincru/pelisdv/sabas/results/TL1_sabas_AFA854_1_R3D_PRJ
100,545.052,473.17800000000005,17.343,991,0.57,392.098,72.753,0.081,100,1_/home/jpincru/pelisdv/sabas/results/TL1_sabas_AFA854_1_R3D_PRJ
101,544.525,472.43800000000005,18.725,933,0.563,427.06800000000004,63.441,0.064,101,1_/home/jpincru/pelisdv/sabas/results/TL1_sabas_AFA854_1_R3D_PRJ
